//index 	rate	name	Level	HP	MP	damagemin	damagemax	defence	magicdefence	attackrating	successfulbloking	moverange 	attacktype	attackrange	viewrange	movespeed	attackspeed	regentime	attribute	itemrate	moneyrate	maxItemlevel	skill	"//저항력(독,얼음,번개,불)"	얼음	번개	불
// 1= posion,  17= specjalne dalekosiezne, 11= elecktric quen, 3= blyskawice, 7= zamrazanie, 0= obrazenia reczne, 150= specajlne przypisane, 2= xxxx , 50= od plapek, 24= xxxxx
197 	1 	"Illusion" 			108 	80000 	0 	800 	1000 	600 	0 	950 	300 	4 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 

//Bali i jakies wrota	
150	1	"Bali"			52	5000	0	165	170	100	0	260	75	3	0	1	7	400	1600	100	2	160	10	3	0	6	6	6	6	
151	1	"Soldier"			58	4000	0	175	180	110	0	290	86	3	0	4	7	400	1600	100	2	160	10	3	0	6	6	6	6
152 	1 	"Gate Stone of %s "	2	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
153 	1 	"Gate Stone of %s "	2	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
154 	1 	"Gate Stone of %s "	2	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
155 	1 	"Gate Stone of %s "	2	9000000	0	0	0	0	90000	90000	90000	90000	0	90000	90000	90000	90000	90000	90000	90000	0	0	0	9	9	9	9
156 	1 	"Gate Stone of %s "	2	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
157 	1 	"Gate Stone of %s "	2	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
//158 	1 	"Shadow Knight"		1 	8000	0 	80 	80 	50 	0 	50 	50 	1 	150 	2 	7 	400 	1500 	150 	2 	120 	14 	4 	0 	9 	9 	9 	9 

//Chaos Castle Monster
162	1	"Chaos Castle 1"		34	17000	0	185	220	270	0	500	210	3	0	1	3	400	2000	10	2	200	100	3	0	1	1	1	1
163	1	"Chaos Castle 2"		39	18000	0	200	240	290	0	500	230	4	150	5	7	400	1800	10	2	150	50	4	0	4	4	4	4
164	1	"Chaos Castle 3"		54	19000	0	220	260	290	0	500	230	3	0	1	3	400	2000	10	2	200	100	3	0	2	2	2	2
165	1	"Chaos Castle 4"		59	30000	0	230	280	340	0	700	380	4	150	5	7	400	1800	10	2	150	50	4	0	5	5	5	5
166	1	"Chaos Castle 5"		62	31000	0	270	320	390	0	700	370	3	0	1	3	400	2000	10	2	200	100	3	0	4	4	4	4
167	1	"Chaos Castle 6"		64	32000	0	300	350	460	0	700	400	4	150	5	7	400	1800	10	2	150	50	4	0	7	7	7	7
